Date,Tweet_ID,Username,Raw Text,Likes,Retweets,is_fire,is_forest,is_urban
Mon Aug 12 23:50:55 +0000 2024,1823145170163892515,enikos.gr,Φωτιά στην Αττική: Αναζωπύρωση μετά τα μεσάνυχτα στο Αστεροσκοπείο https://t.co/7X5kBwZ9yK,2,2,,,
Mon Aug 12 23:50:43 +0000 2024,1823145121136742787,Υπεύθυνος του Τουήτερ,"@novelifinel @kmitsotakis Δηλαδή σύμφωνα με το συλλογισμό αυτό, η φωτιά στο Μάτι μπήκε από θλιβερά ανθρωπάκια για να φύγει ο Τσίπρας από την εξουσία; Μολογάτε χωρίς ξύλο!",8,1,,,
Mon Aug 12 23:50:15 +0000 2024,1823145003067056398,Κρικκος του Πετφορτ,@masselogiatros Πηδά η φωτιά κ σούβλες έτοιμες… αυτο ήθελε να πει η ουρσουλα.,1,0,,,
Mon Aug 12 23:49:26 +0000 2024,1823144796132606411,Unleashed,"Ρε μην είστε ζώα. Όταν εγκαταλείπετε τα σπίτια σας λόγω έκτακτου περιστατικού, μην αφήνετε πίσω τα κατοικίδια σας να καούν ζωντανά. ΖΩΑ #φωτιατωρα #φωτιά",19,3,,,
Mon Aug 12 23:49:08 +0000 2024,1823144718957785471,enikos.gr,Φωτιά στην Αττική: Οι διαθέσιμοι χώροι φιλοξενίας για τους πυρόπληκτους https://t.co/M7LSbcSTW1,6,2,,,
Mon Aug 12 23:48:15 +0000 2024,1823144500203561117,mononewsgr,Φωτιά στην Αττική: Στο Συντονιστικό Κέντρο Επιχειρήσεων ο Μητσοτάκης - https://t.co/Odg3kV6Kz8 #mononewsGR https://t.co/WON18zgYbc,1,0,,,
Mon Aug 12 23:48:04 +0000 2024,1823144452510413271,Τηλέμαχος- Σταύρος Γαλάνης,Γλυφάδα: Συνελήφθησαν δύο νεαροί που φέρονται να έβαλαν τη φωτιά στην Τερψιθέα https://t.co/fKAMnkEzEf,0,0,,,
Mon Aug 12 23:47:58 +0000 2024,1823144425213882796,pi𝕏els α𝕏νιστά,@3a5b241b5195494 @ai_katerina Που θα το χτίσουμε ξέρεις; Σε κάποια έρημο; Το λέω γιατί φέτος κάηκε μέχρι και η με ελάχιστη βλάστηση Σέριφος. Για πολλοστή φορά η φωτιά έσβησε στη θάλασσα.,0,0,,,
Mon Aug 12 23:46:51 +0000 2024,1823144146183258599,beep_beep,Πώς πάει η φωτιά; https://t.co/5mxjwAampf,7,7,,,
Mon Aug 12 23:46:28 +0000 2024,1823144049634611313,Manos Manos,@AdonisGeorgiadi Αντε και στην εκκένωση των αποβλήτων και από το...Σύνταγμα...,0,0,,,
Mon Aug 12 23:45:15 +0000 2024,1823143744322871647,Τηλέμαχος- Σταύρος Γαλάνης,"Φωτιά στην Αττική: Εξασθενημένοι οι άνεμοι τη νύχτα, μάχη με επίγειες δυνάμεις - Προσοχή τα ξημερώματα, λέει ο Κολυδάς https://t.co/olgAxfehjh",0,0,,,
Mon Aug 12 23:45:13 +0000 2024,1823143737062572284,Μπογιόπουλος Νίκος,"@NIKSOTIROPOYLOS Πρέπει να είσαι μεγάλος γλίτσας, να καίγεται η χώρα και εσύ να σκέφτεσαι πως θα γλείψεις την κυβέρνηση.",87,7,,,
Mon Aug 12 23:45:00 +0000 2024,1823143681903235217,Thanos,"Μακάρι φωτιά αποκλειστικά στο σπίτι σου και να καείς ζωντανός, έμμισθο μποτάκι",3,1,,,
Mon Aug 12 23:44:25 +0000 2024,1823143535475855700,Soto De la Grecia♉,"@AnnaChatzisofia Kαι πόσους νεκρούς είχε τελικά,αυτή η φωτιά ,μωρή πατσαβούρα Συριζαία,που τολμάτε και μιλάτε?",6,0,,,
Mon Aug 12 23:44:09 +0000 2024,1823143465448034358,john kountouris,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/6Tkrk8ieLj,2,2,,,
Mon Aug 12 23:43:51 +0000 2024,1823143391628255267,Greek News on Demand,#ΦωτιέςΣτηνΑττική: Βρέθηκε #απανθρακωμένη #σορός γυναίκας σε #βιοτεχνία που κάηκε στο #Χαλάνδρι // #ΕΛΛΑΔΑ #Βριλήσσια #φλόγες  #φωτιά #φωτιές #πυρκαγιές #Πεντέλη #Βριλήσσια #Greece #fires #LosAngeles #Αττική  https://t.co/CtSoxIuVbz,1,1,,,
Mon Aug 12 23:43:08 +0000 2024,1823143209993957737,Daphne Tolis,"Γλυφάδα: «Τη βάλαμε για παιχνίδι», δήλωσαν οι δύο ανήλικοι που συνελήφθησαν για τη #φωτιά  https://t.co/nep7foTHs2",4,0,,,
Mon Aug 12 23:41:43 +0000 2024,1823142853867913650,Lumines,"😍🥹😍🥹😍 Ανθρωπιά!!! And if you don’t know what that means, look it up.  #Greece  #GreeceFires  @kmitsotakis Κάθε χρονιά και χειρότερα! Τι πρέπει να γίνει δηλαδή, να βάλουμε στο σπίτι σου φωτιά να καταλάβεις?!???",3,0,,,
Mon Aug 12 23:40:58 +0000 2024,1823142664956674483,𝕁𝕠 𝔻𝕚 🏳️‍🌈,🔥 Σχεδόν 4.000.000 στρέμματα κάηκαν τα τελευταία 5 χρόνια   🗺️ Αυτή η έκταση ισοδυναμεί με το 3% της συνολικής έκτασης της χώρας  🔴 Η ίδια έκταση θα χρειαζόταν 15 χρόνια να καεί με βάση το μέσο όρο καμένων στρεμμάτων από το 2008-2018  ❌2⃣ Διπλάσια έκταση καμένων ανά πυρκαγιά https://t.co/pMiJk6rQst,514,305,,,
Mon Aug 12 23:39:17 +0000 2024,1823142243110174723,enikos.gr,Σπέτσες: Φωτιά σε πλοίο στο παλιό λιμάνι – ΒΙΝΤΕΟ https://t.co/wfU38juepR,0,0,,,
Mon Aug 12 23:38:56 +0000 2024,1823142155466219969,🔻 GoodGuts 🔻,"@blacktom1961 Στις δασικές πυρκαγιές δεν σβήνεις την φωτιά αλλά την σταματάς είτε με ψύξη του χώρου με νερό,  είτε με αποψίλωση.",0,0,,,
Mon Aug 12 23:37:36 +0000 2024,1823141818491379837,Thomas X,@chris_avramidis Ας καταργήσουμε την πυροσβεστική και να βάλουμε αλληλέγγυους να μας προστατεύουν...,0,0,,,
Mon Aug 12 23:36:12 +0000 2024,1823141466840903797,Protothema.gr,"Αστεροσκοπείο Αθηνών: Αναζωπύρωση στις εγκαταστάσεις μετά τα μεσάνυχτα, εντοπίστηκε και κατεστάλη έγκαιρα https://t.co/SWHEGRv8yW https://t.co/EdHKwIse0W",4,1,,,
Mon Aug 12 23:36:07 +0000 2024,1823141443265049063,Πράσινη Αριστερά,"@vozemberg @neademokratia ""Βιβλικών καταστροφών"". Δεν ξέρετε τι λέτε και τι γράφετε. Η φωτιά μπήκε στα σπίτια λόγω ανικανότητας οργάνωσης.  Είστε επικίνδυνοι για την δημόσια ασφάλεια. Δεν μπορείτε να προστατέψετε κανέναν.",0,0,,,
Mon Aug 12 23:35:32 +0000 2024,1823141298724814931,🔴Born Red⚪,@pngsrg @harris_stavrou Το τι θα κάνω εγώ είναι δικό μου θέμα φωτεινε παντογνώστη   Όσο για την φωτιά όχι θα περιμένω να την σβήσουν οι μπάτσοι που προσλαμβάνει το κράτος με τις αύρες τους,0,0,,,
Mon Aug 12 23:35:25 +0000 2024,1823141269075366144,Παπα-Ματ#2,"Άφησε 16χιλ να πεθάνουν χωρίς ΜΕΘ στον κορονοϊο,  57 νεκρούς στο έγκλημα στα Τέμπη, 2,5εκ στρέμματα να καούν, πανώλη στη Θεσσαλία, ελικόπτερα να βουλιάξουν φωτιά προχώρησε 30χλμ και έκαψε μια πόλη(Βριλήσσια)  5 χρονιες συνεχείς επιτυχίες Μητσοτακη https://t.co/oOrGvbBCqT",156,41,,,
Mon Aug 12 23:35:15 +0000 2024,1823141225282863223,Proper Greek Analyst,@Clinodactyly Ναι. 218.000 στρέμματα πριν τη #φωτιά στην Ανατολική Αττική που είναι 100.000+. Ξεπερνούσαν σε καμμένη έκταση ήδη 10 έτη από τα τελευταια 19. https://t.co/L3bW8oULNw,4,0,,,
Mon Aug 12 23:34:30 +0000 2024,1823141040145961260,Thomas X,@LamprosDrosos Ευτυχώς το είχαμε τότε με την φωτιά στο μάτι....,0,0,,,
Mon Aug 12 23:34:27 +0000 2024,1823141025873080336,ζαχαρονικόλας,"@myrtozax ""Δεν υπήρξαν ιδιαίτερα σοβαρές φωτιές""...!!!! Καίγεται Η Ελλάδα, απ'το βορά μέχρι το νότο, και η κυρά Μάρθα...χτενιζεται!!! Ζουρλομανδύας σας πρέπει, σαπάκια του καθεστώτος Μιζοτακη...",5,1,,,
Mon Aug 12 23:33:05 +0000 2024,1823140681134530570,Γραίγος 🇬🇷,"@epaggelmatiassk Θα άραζαν σε κανένα ύψωμα, θα έβλεπαν την φωτιά , θα έπιναν μπύρες και μπάφους ακούγοντας εντεχνοκουλτουριάρικα επαναστατικά τραγούδια.",1,0,,,
Mon Aug 12 23:32:52 +0000 2024,1823140627418116236,Παράτυπος γήινος 🇵🇸 🇱🇧 🇻🇪,Αμα πιασει φωτιά η κυψέλη πείτε μου.,0,0,,,
Mon Aug 12 23:32:33 +0000 2024,1823140549219524805,Ηώ,"@Monika29698435 Ερχόμενη από ταξίδι σήμερα το μεσημέρι, έπιασα Δεύτερο. Τραγουδάκια και κουβεντούλα. Κάποια στιγμή λέει η εκφωνήτρια η οποία ενδιάμεσα έλεγε και ειδήσεις για τη φωτιά και λάμβανε μνματα:΄΄ Για ανεμογενήτριες ε; Συμφωνώ. Τι να λέμε τώρα;΄΄  Η δική μας ΕΡΤ.😠",0,0,,,
Mon Aug 12 23:31:22 +0000 2024,1823140249025065419,Giannis Eutuxiadis,Φωτιά στην Αττική: «Καμπανάκι» από Κολυδά για κίνδυνο αναζωπυρώσεων τα ξημερώματα https://t.co/8HQ1P6qqVu,0,0,,,
Mon Aug 12 23:30:39 +0000 2024,1823140068531318920,Claire,@korinaki9 Ποιος καλός άνθρωπος θα βάλει φωτιά στη Βουλή ρε πούστη μου να ηρεμήσουμε,8,0,,,
Mon Aug 12 23:30:25 +0000 2024,1823140011115458679,Spyros K,@VforVolemenos Ξαναδιάβασε τι έχεις γράψει μήπως και καταλάβεις ότι η φωτιά ξεκίνησε από τον Βαρνάβα και έφτασε ανενόχλητη μέχρι το Χαλανδρι Αλλά για σένα μαλλον είναι επιτυχία που δεν έφθασε μέχρι τους Αμπελοκήπους,1,0,,,
Mon Aug 12 23:30:20 +0000 2024,1823139988441026759,Nikos t,@telloglou Δεν είπες για Πυροσβεστική του Μητσοτάκη  Νομίζω ότι πρέπει να διορθώσεις 😁,0,0,,,
Mon Aug 12 23:30:00 +0000 2024,1823139906513682906,Real,Φωτιά στην Αττική: Συγκλονιστικές εικόνες με εξαντλημένους πυροσβέστες  #Πυροσβεστες #πυροσβέστες #φωτια #πυρκαγια #φωτιά #καπνός #φωτιατωρα #φωτια_πεντελη #πυρκαγιά #Πεντέλη #Βαρναβας #Ραφηνα #Πεντέλη #Μαραθώνας  https://t.co/OaWuStwUGW,0,0,,,
Mon Aug 12 23:29:49 +0000 2024,1823139860720340993,SoraNoKuni,"@_SimonLeone 1/2  Αν όλα δούλεψαν άριστα,  θα είχε σβήσει και η φωτιά.  Προφανώς δεν έχει μείνει τίποτα όρθιο να δουλεύει, ούτως ή άλλως το βλέπω στην καθημερινότητα μου, τίποτα δημόσιο δεν δουλεύει πλέον.",0,0,,,
Mon Aug 12 23:29:40 +0000 2024,1823139823885914541,Elena Nikolaidou,@The_Mandarinian Μην σκας μλκα κ μου το έσωσε η Πυροσβεστική κ ο ΚΥΡΙΑΚΟΣ.Κλαψε τώρα,28,6,,,
Mon Aug 12 23:29:18 +0000 2024,1823139729920938349,Βαγγέλης Βαλαβάνης,Πυρκαγιά Αττική: Μια γυναίκα βρέθηκε απανθρακωμένη στο #Πατημα_Βριλησσιων  - Documento https://t.co/4R8UVRGgzl,0,0,,,
Mon Aug 12 23:28:49 +0000 2024,1823139609972269361,Giannis Eutuxiadis,Φωτιά στην Αττική: Βρέθηκε απανθρακωμένη σορός γυναίκας στο Πάτημα Βριλησσίων https://t.co/oU6dW49F49,0,0,,,
Mon Aug 12 23:27:40 +0000 2024,1823139320653316279,Giannis Eutuxiadis,«Ανίκανοι και αδύναμοι να αντιδράσουν»: Αντιδράσεις από την αντιπολίτευση για τη φωτιά στην Αττική https://t.co/46zDmC8BSY,0,0,,,
Mon Aug 12 23:27:37 +0000 2024,1823139305151242683,Stef -08-,@MarketElf Α εντάξει ευχαριστούμε τότε! Νιώθουμε τυχεροί και πάνω απ όλα ασφαλείς αφού καίγεται και η Σαχάρα! Παρτα 🖐🖐🖐 γλοιώδες κομματοσκυλο!,0,0,,,
Mon Aug 12 23:26:44 +0000 2024,1823139084371460365,aiolos,"Κιμ πάτα το κουμπί ....... ΟΧΙ ΟΤΙ ΔΕΝ ΜΠΟΡΟΥΝ, ΔΕΝ ΘΕΛΟΥΝ, υπάρχει διαφορά. ΤΙ ΟΧΙ? #φωτιά #φωτια_πεντελη #Κικιλιας #Βαρνάβας #Πεντελη #Μητσοτακης #Μαραθωνας  #Ματι #Πυρκαγιες  #Πυροσβεστες  #Πατημα_Χαλανδριου #ΝΔ_ΣΥΜΜΟΡΙΑ  #Διόνυσος",1,0,,,
Mon Aug 12 23:25:03 +0000 2024,1823138659153190930,SoraNoKuni,"@Phlippos1030088 @Nikosmoraitis Ντροπή ρε μλκ, ντροπή να το κάνεις ακόμη αυτό. Καίγεται η χώρα ανεξέλεγκτα κάθε χρόνο, δεν έχει μείνει τίποτα και πάλι η ίδια καραμέλα. Βάλε λίγο το μυαλό σου να δουλέψει, δεν είναι ομαδικά η κυβέρνηση αυτού του τόπου. Κάπου κρίμα δλδ.",3,1,,,
Mon Aug 12 23:24:59 +0000 2024,1823138644510532048,ΑΕΚΑΚΙΑΣ (Podosfairakias),Πέρα από την πλάκα καλή δύναμη εκεί πάνω. Παλεύετε μόνοι σας ενάντια στο ξευτιλισμενο σύστημα. Μακάρι να δράσει γρήγορα η πυροσβεστική,0,0,,,
Mon Aug 12 23:24:07 +0000 2024,1823138425144528923,Maria_moor✨,"Από ότι βλέπω 88.000 ποστ για την φωτιά. Μονο απο το πληκτρολόγιο είστε μάγκες, να βγητε να κάνουμε καμιά πορεία ή να σηκωθείτε απο την άνεση σας να ψηφίσετε μια φορά σωστά δεν μπορείτε. Αντε καληνύχτα #φωτια",17,3,,,
Mon Aug 12 23:23:58 +0000 2024,1823138385655148742,Melinaki 🇵🇸🍉,#φωτια #πυρκαγιά  #ζωασεαναγκη  Βοηθήστε όσοι μπορείτε.,3,4,,,
Mon Aug 12 23:22:42 +0000 2024,1823138069265952778,Εκκλησία Online,Φωτιά ΤΩΡΑ σε πλοίο ελλιμενισμένο στο παλιό λιμάνι των Σπετσών https://t.co/HJ6q9FnlQS,0,0,,,
Mon Aug 12 23:22:10 +0000 2024,1823137934284927335,TaxiDriverGr,@nikosarantakos οχτώ το βράδυ φωτιά σύντροφε σε δεκάδες εστίες μαζί το λες και τρομοκρατική επίθεση. συνηθισμένη η αριστερά στη ΒΙΑ μιας και η αριστερή βία είναι έντιμη για τον αγώνα,2,0,,,
Mon Aug 12 23:21:49 +0000 2024,1823137846573621591,Iasonas Apostolopoulos,"Άρα, σύμφωνα με την λογική των άεργων ξεπλένηδων κομματόσκυλων, την φωτιά στο Μάτι την έβαλαν οι δεξιοί και έκαψαν 104 ανθρώπους για να ρίξουν τον Σύριζα.   #φωτια",339,50,,,
Mon Aug 12 23:21:21 +0000 2024,1823137728982053009,Eva η Α',@constads Αν ήταν δεξιός στο Χαλάνδρι... η φωτιά παίζει να είχε φτάσει ήδη στο ολυμπιακό στάδιο,0,0,,,
Mon Aug 12 23:21:14 +0000 2024,1823137701362622935,Protothema.gr,Φωτιά σε πλοίο ελλιμενισμένο στο παλιό λιμάνι των Σπετσών - Δείτε βίντεο https://t.co/qWN1PfDgZG https://t.co/PsfqBRMsbe,2,1,,,
Mon Aug 12 23:20:50 +0000 2024,1823137598497321344,ΑΚΑΛΑ,"Καληνυχτα Ελλάδα.  Κλείσε τα φωτα σου, θα σε φωτίζει η φωτιά κι αν τη σβήσουν μη φοβάσαι ολο και κάποιος θα βρεθεί να σε φωτίσει πάλι. #φωτια #φωτια_πεντελη #φωτιατωρα",6,0,,,
Mon Aug 12 23:20:07 +0000 2024,1823137418171609321,Λέπουρας,@LamprosDrosos Θα έριχνε π ρωσικός γίγαντας μέσα στον αστικό ιστό 2 ρίψεις και θα έσβηνε η φωτιά στις αυλές των σπιτιών,0,0,,,
Mon Aug 12 23:20:05 +0000 2024,1823137411611726207,𝙰 𝚝 𝚑 𝚒 𝚗 𝚎 𝚘 𝚜 🦋,Μάλλον φταίει το φαινόμενο των Κικιλήδων  #φωτιά,2,2,,,
Mon Aug 12 23:20:05 +0000 2024,1823137410114613720,Όχιεγώ Έναςάλλος,@OrMakes @HonErich Και πέρυσι δεν είχε μείνει δέντρο και πρόπερσι και πριν 2 και 3 χρόνια πάλι δέντρο δεν είχε μείνει. Τι στο καλό καίγεται κάθε χρόνο ρε σαΐνι??,1,0,,,
Mon Aug 12 23:18:57 +0000 2024,1823137126092857790,Zoro,"Το βαφτιστηρι του Κωνσταντίνου Μητσοτάκη, ο Συνολακης θα είχε σβήσει τη φωτιά 🔥🔥🔥 σε 20-25 λεπτά.... Η μήπως όχι; https://t.co/NIRYB7ZOke",143,31,,,
Mon Aug 12 23:18:22 +0000 2024,1823136977375449407,George Syriopoulos,Η φωτιά που κατακαίει χωρίς έλεος τη φύση και το βιός συνανθρώπων μας στην Αττική αφήνει πίσω της πληγές που δεν επουλώνονται με λόγια.   Κορυφαίο ζητούμενο να μη θρηνήσουμε απώλεια ζωής. Και φυσικά να βρεθεί φόρμουλα άμεσης αποκατάστασης των υποδομών και των ιδιωτικών https://t.co/Flyr0sadb4,4,0,,,
Mon Aug 12 23:18:11 +0000 2024,1823136934023086210,The Drifter,"@el_ges Από που έχουν εμπειρία οι Παλαιστίνιοι σε δασικές πυρκαγιές ? Αν πάρει φωτιά η άμμος, θα τους φωνάξουμε.",2,0,,,
Mon Aug 12 23:18:09 +0000 2024,1823136922077990913,PLURALISM.GR,Συναγερμός στην Θεσσαλονίκη: Φωτιά στο πρώην στρατόπεδο ... https://t.co/H9NuxnvQk6 https://t.co/sumUlyPxuP,0,0,,,
Mon Aug 12 23:18:01 +0000 2024,1823136890385584243,E. I. Menutti,Η #κηλίδωση μιας χώρας #Μητσοτακης #Πάτημα_Χαλανδρίου #Αστεροσκοπείο #Σταμάτα #Γραμματικο #Δέση_Γέρακα #Πεντέλη #ΤΕΡΝΑ #εκκένωση #εναέρια_μέσα #φωτια #ΝΔ_ΣΥΜΜΟΡΙΑ #ΝΔ_απατεωνες  #κυβερνηση_τσιρκο #Κικιλιας #εκκένωση  #Πυρκαγιες #Πεντέλη #πυροσβέστες #ζώα_φωτιά  #Μάτι #Χαλανδρι https://t.co/jfmLTdg2s4,0,0,,,
Mon Aug 12 23:17:47 +0000 2024,1823136832567001108,Σατανικό Αβοκάντο 🥑,Είμαστε σίγουροι ότι έσβησε η φωτιά δω πάνω Ε;  Πολύ κάπνα ρε φίλε πωωω,2,1,,,
Mon Aug 12 23:17:38 +0000 2024,1823136791953563739,Athens0100,Η φωτιά πλησιάζει τα σπίτια στη Νέα Μάκρη πάνω από το Κέντρο Υγείας Νέας Μάκρης #112 #ΝεαΜακρη #Μαραθωνας  #φωτια #φωτιατωρα https://t.co/gJB460dGRz,1,0,,,
Mon Aug 12 23:16:41 +0000 2024,1823136555617194073,ManlyBear5,"@tbickle1976 Γίνεται και αυτό. Απλώς επειδή είναι κωλοζωα ή επειδή το κάνουν επίτηδες ξεχνάνε να πούνε ότι η φωτιά δεν καίει τα δέντρα αλλά την χαμηλή ξερή βλάστηση, τα χόρτα και τα ξερά φύλλα κλπ. Και μην σου πω ότι αυτό είναι και καλό γιατί καθαρίζεται και ανανεώνεται.",0,0,,,
Mon Aug 12 23:16:41 +0000 2024,1823136552836268318,stratos,"https://t.co/yY39fqz1O1  #φωτια #πυρκαγια  Μπήκε στην πόλη η φωτιά, με μία νεκρή σε επιχείρηση που καιγόταν",0,0,,,
Mon Aug 12 23:16:17 +0000 2024,1823136455033512166,Romios,ΕΚΤΑΚΤΟ: Φωτιά στον πυρηνικό σταθμό Ζαπορίζια μετά από βομβαρδισμό των Ουκρανοναζί https://t.co/aoSFx51Elu,0,0,,,
Mon Aug 12 23:15:45 +0000 2024,1823136319192601006,Apo_christ_🟢⚪,"@sotpap1997 Ναι, αυτό το ξέρω απλά έχω μάθει ότι αυτή τη στιγμή υπάρχουν δεκάδες μέτωπα και όχι μια φωτιά",0,0,,,
Mon Aug 12 23:15:37 +0000 2024,1823136286749647096,Dimitri Vance,ΕΜΕΙΣ ΛΕΓΑΜΕ ΓΙΑ ΜΟΜΑ..... #Αττική #Φωτιά https://t.co/liMNYFKc8I,0,0,,,
Mon Aug 12 23:15:12 +0000 2024,1823136182571602410,loutrakiblog.gr,Όλα εδώ πληρώνονται! - Κάηκε το σπίτι του άνδρα που καταδικάστηκε για τη φωτιά στο Μάτι - #loutrakiblog -  https://t.co/QVVTXzWKst https://t.co/6KSyvpAD2C,0,0,,,
Mon Aug 12 23:14:58 +0000 2024,1823136121208893907,Σιχαμένη κατακουζηνα,Ρε μάγκες πήραμε  #φωτια Δεν πειράζει στείλαμε όπλα σε Ισραήλ Ουκρανία,3,1,,,
Mon Aug 12 23:14:42 +0000 2024,1823136055102775584,theFAQ.gr,Πάμε τώρα: Στο Μάτι είχαμε ένα ακραίο καιρικο φαινόμενο ( άνεμοι ταχύτητας 190χλμ) που εξελίχθηκε αστραπιαία (μέσα σε 50’) σε μια πολεοδομική ποντικοπαγίδα! Στην τραγωδία στο Χαλάνδρι είχαμε μια φωτιά που εξελισσόταν αργά επι 24 ώρες και διήνυσε απόσταση 40χλμ με μέτριο άνεμο . https://t.co/hWXKdlFjCF,666,185,,,
Mon Aug 12 23:14:36 +0000 2024,1823136031736009002,Θεία Λϊα,#φωτια  συστήνεται ομάδα εθελοντών για εύρεση τραυματισμενων μη ανθρωπίνων ζώων κ καταγραφή  https://t.co/wRYbLxWfo8 https://t.co/wH0gATaGED,6,23,,,
Mon Aug 12 23:14:36 +0000 2024,1823136030637097104,𝓑𝓮𝓽𝓽𝔂 𝓑𝓸𝓸𝓹 💋💋💋,"Ήρεμα ρωτάω... φεύγετε ""διακοπαρες""...Αυγούστο μηνα και τα ζωακια σας τα αφήνετε στις.. αυλες? 🤔🤔🤔🤔🤔🤔🤔 #φωτια",8,0,,,
Mon Aug 12 23:14:28 +0000 2024,1823135997019713628,𝑪𝒐𝒎𝒃𝒊𝒏𝒆 𝑨𝒅𝒗𝒊𝒔𝒐𝒓 (41% v/v),"Η ατάκα ότι ""τα σπίτια ξαναγίνονται"" είναι μια μπαρούφα που προκαλεί τους πυρόπληκτους! Σήμερα κανένα σπίτι δεν ξαναγίνεται με τα κουτσουρεμένα, αρχικά από την κρίση και μετά από τον πληθωρισμό, εισοδήματα. #φωτια #πυρκαγιά",29,2,,,
Mon Aug 12 23:14:11 +0000 2024,1823135926484381930,Tzortzis Travoltidis,Τώρα μάλιστα. Χάρηκα αφού δεν έχω αυτοκίνητο...   #Κασσελακης #Φωτια_τωρα #Αττική #ΣΥΡΙΖΑ_ΠΣ #ΣΥΡΙΖΑ https://t.co/V2qfOZqgrO,1,0,,,
